ABMD,2017/10/26,0.44,0.386,14,2017-08-02T16:00:00,2018-01-24T16:00:00
ADBE,2018/6/14,1.66,1.542,7.7,2018-03-20T16:00:00,2018-09-10T16:00:00
ADM,2018/7/31,1.02,0.766,33.2,2018-05-04T16:00:00,2018-10-24T16:00:00
ADP,2018/1/31,0.99,0.896,10.5,2017-11-02T16:00:00,2018-04-27T16:00:00
ADSK,2017/8/24,-0.11,-0.152,27.6,2017-05-31T16:00:00,2017-11-17T16:00:00
AEE,2018/8/3,0.98,0.783,25.3,2018-05-09T16:00:00,2018-10-29T16:00:00
AEP,2018/7/25,1.01,0.892,13.2,2018-04-30T16:00:00,2018-10-18T16:00:00
AFL,2018/7/26,1.07,0.99,8.1,2018-05-01T16:00:00,2018-10-19T16:00:00
AIZ,2018/8/7,2.13,1.828,16.5,2018-05-11T16:00:00,2018-10-31T16:00:00
ALGN,2018/7/25,1.3,1.088,19.5,2018-04-30T16:00:00,2018-10-18T16:00:00
ALL,2018/8/1,1.9,1.517,25.2,2018-05-07T16:00:00,2018-10-25T16:00:00
AMD,2018/7/25,0.14,0.128,9.4,2018-04-30T16:00:00,2018-10-18T16:00:00
AMGN,2018/7/26,3.83,3.556,7.7,2018-05-01T16:00:00,2018-10-19T16:00:00
AMZN,2018/7/26,5.07,2.489,103.7,2018-05-01T16:00:00,2018-10-19T16:00:00
ANET,2018/8/2,1.93,1.696,13.8,2018-05-08T16:00:00,2018-10-26T16:00:00
ANSS,2018/8/6,1.35,1.045,29.2,2018-05-10T16:00:00,2018-10-30T16:00:00
APA,2018/8/1,0.5,0.402,24.4,2018-05-07T16:00:00,2018-10-25T16:00:00
ARNC,2018/7/31,0.37,0.297,24.6,2018-05-04T16:00:00,2018-10-24T16:00:00
ATVI,2018/8/2,0.41,0.354,15.8,2018-05-08T16:00:00,2018-10-26T16:00:00
BAC,2018/7/16,0.64,0.572,11.9,2018-04-19T16:00:00,2018-10-09T16:00:00
BAX,2018/7/26,0.77,0.709,8.6,2018-05-01T16:00:00,2018-10-19T16:00:00
BBY,2017/8/29,0.69,0.629,9.7,2017-06-05T16:00:00,2017-11-22T16:00:00
BF-B,2017/12/6,0.49,0.426,16.1,2017-09-12T16:00:00,2018-03-06T16:00:00
BKNG,2018/8/9,20.67,17.374,19,2018-05-15T16:00:00,2018-11-02T16:00:00
BMY,2018/7/26,1.01,0.874,15.6,2018-05-01T16:00:00,2018-10-19T16:00:00
BR,2018/2/8,0.79,0.546,44.7,2017-11-10T16:00:00,2018-05-07T16:00:00
BRK-A,2018/8/4,4190.13,3366.46,24.5,2018-05-09T16:00:00,2018-10-29T16:00:00
BSX,2018/7/25,0.41,0.343,19.5,2018-04-30T16:00:00,2018-10-18T16:00:00
